,city,311_coef,311_se,311_p,crash_coef,crash_se,crash_p
0,Chicago,-0.3295655501158682,0.1684162334835936,0.05036493641983,-0.417394776862851,0.214690472538398,0.0518749537083297
1,New York,0.2681657593039798,0.1899993571874912,0.15812566910986448,0.29086894289114573,0.170587165445037,0.08817493711738246
2,Detroit,-0.4769957592475861,0.28152039130150347,0.09019765848766458,-0.23269150678843536,0.22676683782356427,0.3048318667764611
3,Los Angeles,0.06690786040996742,0.46129358729358916,0.8846761435170781,0.07106540539856228,0.3933509185186149,0.8566292121152989
4,Philidelphia,0.0961597243923287,0.1527781333178616,0.5290822172697925,-0.025520889282123066,0.14798879718575594,0.8630825915586633
5,Pooled,-0.06551048004361178,0.1407075357768669,,-0.05504887264310056,0.1258917624424256,
