,city,311_coef,311_se,311_p,crash_coef,crash_se,crash_p
0,Chicago,-0.5144953028512312,0.12900983127041088,6.662374951876087e-05,-0.538611323577101,0.1388276975048072,0.00010458071388452409
1,New York,-0.11813767059840824,0.12054779494742558,0.3270827136371298,0.12161877420118983,0.10060879100248632,0.22672873878913957
2,Detroit,-0.3781086515424992,0.17376580706319023,0.029557732659284505,-0.32940530543981733,0.17421438776620551,0.05865047915985967
3,Los Angeles,0.4634894926561044,0.13188386541146815,0.00044078839486135077,0.28737826492319646,0.1259207274202303,0.022476606826386004
4,Philidelphia,0.09447381330352905,0.16932232240386835,0.5768768193357559,0.0016380020042344734,0.12275254072121337,0.9893533957224317
5,Pooled,-0.08919865127533816,0.1748072805778199,,-0.07982069444314227,0.15013603646192936,
